Trade_Date,Transaction_Type,Symbol,Quantity,Price_per_Unit,Total_Value,Fees,Net_Amount,Remarks,Account_Balance
02-01-2025,Buy,RELIANCE,10,980,9800,39.2,9839.2,Buy order,40160.8
03-01-2025,Buy,TCS,5,999,4995,19.98,5014.98,Buy order,35145.82
04-01-2025,Sell,INFY,5,1120,5600,16.8,5583.2,Sell order,40729.02
05-01-2025,Buy,HDFCBANK,15,1045,15675,62.7,15737.7,Buy order,24991.32
06-01-2025,Dividend,ICICIBANK,,, , ,250,Dividend income,25241.32
07-01-2025,Buy,SBIN,10,1078,10780,43.12,10823.12,Buy order,14418.2
08-01-2025,Buy,AXISBANK,15,1095,16425,65.7,16490.7,Buy order,-2072.5
09-01-2025,Sell,ITC,5,1130,5650,16.95,5633.05,Sell order,3560.55
10-01-2025,Buy,LT,10,1150,11500,46,11546,Buy order,-7985.45
11-01-2025,Dividend,HINDUNILVR,,, , ,300,Dividend income,-7685.45
12-01-2025,Buy,RELIANCE,20,1180,23600,94.4,23694.4,Buy order,-31379.85
13-01-2025,Buy,TCS,10,1205,12050,48.2,12098.2,Buy order,-43478.05
14-01-2025,Sell,INFY,5,1215,6075,18.23,6056.77,Sell order,-37421.28
15-01-2025,Buy,HDFCBANK,5,1230,6150,24.6,6174.6,Buy order,-43595.88
16-01-2025,Dividend,ICICIBANK,,, , ,250,Dividend income,-43345.88
17-01-2025,Buy,SBIN,20,1245,24900,99.6,24999.6,Buy order,-68345.48
18-01-2025,Buy,AXISBANK,10,1260,12600,50.4,12650.4,Buy order,-80995.88
19-01-2025,Sell,ITC,5,1275,6375,19.13,6355.87,Sell order,-74640.01
20-01-2025,Buy,LT,15,1290,19350,77.4,19427.4,Buy order,-94067.41
21-01-2025,Dividend,HINDUNILVR,,, , ,300,Dividend income,-93767.41
22-01-2025,Buy,RELIANCE,10,1305,13050,52.2,13102.2,Buy order,-106869.61
23-01-2025,Buy,TCS,15,1320,19800,79.2,19879.2,Buy order,-126748.81
24-01-2025,Sell,INFY,5,1335,6675,20.03,6654.97,Sell order,-120093.84
25-01-2025,Buy,HDFCBANK,20,1350,27000,108,27108,Buy order,-147201.84
26-01-2025,Dividend,ICICIBANK,,, , ,250,Dividend income,-146951.84
27-01-2025,Buy,SBIN,10,1365,13650,54.6,13704.6,Buy order,-160656.44
28-01-2025,Buy,AXISBANK,15,1380,20700,82.8,20782.8,Buy order,-181439.24
29-01-2025,Sell,ITC,5,1395,6975,20.93,6954.07,Sell order,-174485.17
30-01-2025,Buy,LT,10,1410,14100,56.4,14156.4,Buy order,-188641.57
31-01-2025,Dividend,HINDUNILVR,,, , ,300,Dividend income,-188341.57
01-02-2025,Buy,RELIANCE,20,1425,28500,114,28614,Buy order,-216955.57
02-02-2025,Buy,TCS,10,1440,14400,57.6,14457.6,Buy order,-231413.17
03-02-2025,Sell,INFY,5,1455,7275,21.83,7253.17,Sell order,-224160
04-02-2025,Buy,HDFCBANK,5,1470,7350,29.4,7379.4,Buy order,-231539.4
05-02-2025,Dividend,ICICIBANK,,, , ,250,Dividend income,-231289.4
06-02-2025,Buy,SBIN,20,1485,29700,118.8,29818.8,Buy order,-261108.2
07-02-2025,Buy,AXISBANK,10,1500,15000,60,15060,Buy order,-276168.2
08-02-2025,Sell,ITC,5,1515,7575,22.73,7552.27,Sell order,-268615.93
09-02-2025,Buy,LT,15,1530,22950,91.8,23041.8,Buy order,-291657.73
10-02-2025,Dividend,HINDUNILVR,,, , ,300,Dividend income,-291357.73
11-02-2025,Buy,RELIANCE,10,1545,15450,61.8,15511.8,Buy order,-306869.53
12-02-2025,Buy,TCS,15,1560,23400,93.6,23493.6,Buy order,-330363.13
13-02-2025,Sell,INFY,5,1575,7875,23.63,7851.37,Sell order,-322511.76
14-02-2025,Buy,HDFCBANK,20,1590,31800,127.2,31927.2,Buy order,-354438.96
15-02-2025,Dividend,ICICIBANK,,, , ,250,Dividend income,-354188.96
16-02-2025,Buy,SBIN,10,1605,16050,64.2,16114.2,Buy order,-370303.16
17-02-2025,Buy,AXISBANK,15,1620,24300,97.2,24397.2,Buy order,-394700.36
18-02-2025,Sell,ITC,5,1635,8175,24.53,8150.47,Sell order,-386549.89
19-02-2025,Buy,LT,10,1650,16500,66,16566,Buy order,-403115.89
20-02-2025,Dividend,HINDUNILVR,,, , ,300,Dividend income,-402815.89
21-02-2025,Buy,RELIANCE,20,1665,33300,133.2,33433.2,Buy order,-436249.09
22-02-2025,Buy,TCS,10,1680,16800,67.2,16867.2,Buy order,-453116.29
23-02-2025,Sell,INFY,5,1695,8475,25.43,8449.57,Sell order,-444666.72
24-02-2025,Buy,HDFCBANK,5,1710,8550,34.2,8584.2,Buy order,-453250.92
25-02-2025,Dividend,ICICIBANK,,, , ,250,Dividend income,-453000.92
26-02-2025,Buy,SBIN,20,1725,34500,138,34638,Buy order,-487638.92
27-02-2025,Buy,AXISBANK,10,1740,17400,69.6,17469.6,Buy order,-505108.52
28-02-2025,Sell,ITC,5,1755,8775,26.33,8748.67,Sell order,-496359.85
01-03-2025,Buy,LT,15,1770,26550,106.2,26656.2,Buy order,-523016.05
